server,command
bsbank,cd /nkia
bsbank,ls
bsbank,cd BSBANK
bsbank,ls -al
bsbank,cd manager/
bsbank,ls -al
bsbank,cd deploy/service/com.nkia.service.management.server_1.0/
bsbank,ls -al
bsbank,vi server.template.xml
bsbank,vi service.template.xml 
bsbank,pwd
bsbank,ls -al
bsbank,cd ../
bsbank,ls
bsbank,cd com.nkia.service.acl.menu_1.0/
bsbank,ls-al
bsbank,ls -al
bsbank,ls a-l
bsbank,ls -al
bsbank,vi service.template.xml 
bsbank,pwd
bsbank,ls -al
bsbank,route
bsbank,cd /nkia/
bsbank,la
bsbank,cd shnam/
bsbank,ls
bsbank,ls a-l
bsbank,chmod 755 *.sh
bsbank,ls -al
bsbank,vi run.
bsbank,vi run.sh
bsbank,vi -b run.sh
bsbank,ls -al
bsbank,./run.sh 
bsbank,ll
bsbank,vi result.log 
bsbank,ls -al
bsbank,rm result.log
bsbank,ls -al
bsbank,vi manager.prop
bsbank,ls a-l
bsbank,ls -al
bsbank,vi node.txt 
bsbank,l;s -a
bsbank,ls -al
bsbank,tar -cvf command_tool.tar *
bsbank,ls -al
bsbank,vi result.log
bsbank,clear
bsbank,./run.sh 
bsbank,ll
bsbank,vi result.log 
Demo-Xeus-Public,ls
Demo-Xeus-Public,cd ..
Demo-Xeus-Public,ls
Demo-Xeus-Public,mkdir /nkia
Demo-Xeus-Public,cd nkia
Demo-Xeus-Public,cd /nkia
Demo-Xeus-Public,mkdir agent
Demo-Xeus-Public,ls
Demo-Xeus-Public,cd vmware-tools-distrib/
Demo-Xeus-Public,./vmware-install.pl 
Demo-Xeus-Public,ifconfig
Demo-Xeus-Public,service network restart
Demo-Xeus-Public,vi /etc/sysconfig/network-scripts/ifcfg-eth0 
Demo-Xeus-Public,service network restart
Demo-Xeus-Public,vi /etc/sysconfig/network-scripts/ifcfg-eth0 
Demo-Xeus-Public,reboot
Demo-Xeus-Public,ifconfig
Demo-Xeus-Public,cd /nkia
Demo-Xeus-Public,ls
Demo-Xeus-Public,cd agent/
Demo-Xeus-Public,ls
Demo-Xeus-Public,tar xvf NNPAgent_SMS_Linux64_3.4_V1.5.675.tar.gz 
Demo-Xeus-Public,ls
Demo-Xeus-Public,cd NNPAgent
Demo-Xeus-Public,ls
Demo-Xeus-Public,cd ..
Demo-Xeus-Public,ls
Demo-Xeus-Public,./vagentinstall.sh 
Demo-Xeus-Public,pwd
Demo-Xeus-Public,ls
Demo-Xeus-Public,cd NNPAgent
Demo-Xeus-Public,ls
Demo-Xeus-Public,cd MAgent/
Demo-Xeus-Public,ls
Demo-Xeus-Public,cd conf
Demo-Xeus-Public,ls
Demo-Xeus-Public,pwd
Demo-Xeus-Public,vi MasterAgent.conf
Demo-Xeus-Public,cat /etc/sysconfig/network-scripts/ifcfg-eth0 
Demo-Xeus-Public,ls /etc/udev/rules.d/
Demo-Xeus-Public,cat /etc/udev/rules.d/70-persistent-net.rules 
Demo-Xeus-Public,ls
Demo-Xeus-Public,vi MasterAgent.conf
Demo-Xeus-Public,vi /etc/sysconfig/network-scripts/ifcfg-eth0 
Demo-Xeus-Public,vi /etc/udev/rules.d/70-persistent-net.rules 
Demo-Xeus-Public,service NetworkManager off
Demo-Xeus-Public,service NetworkManager stop
Demo-Xeus-Public,chkconfig NetworkManager off
Demo-Xeus-Public,service network restart
Demo-Xeus-Public,iptables -L
Demo-Xeus-Public,service iptables stop
Demo-Xeus-Public,chkconfig iptables off
Demo-Xeus-Public,shutdown
Demo-Xeus-Public,halt
Demo-Xeus-Public,ifconfig
Demo-Xeus-Public,cd /nkia/
Demo-Xeus-Public,ls
Demo-Xeus-Public,cd agent/
Demo-Xeus-Public,ls
Demo-Xeus-Public,cd NNPAgent
Demo-Xeus-Public,./agentstop.sh 
Demo-Xeus-Public,vi /etc/udev/rules.d/70-persistent-net.rules 
Demo-Xeus-Public,mkdir -p  /usr/nkia/dca
Demo-Xeus-Public,cd /root
Demo-Xeus-Public,ls
Demo-Xeus-Public,mv *tar /usr/nkia/dca/
